id,original_title,original_authors,original_venue,original_year,rank,candidate_doi,candidate_title,candidate_container,candidate_year,crossref_score,title_similarity,confirmed
pub-conf-006,Estimating the Vitality of Individual Street Trees in Urban Areas Using Multi-source Imagery and Deep Learning,Yeonsu Kang,SIGSPATIAL '25,2025,1,10.1145/3748636.3766531,Estimating the vitality of individual street trees in urban areas using multi-source imagery and deep learning,Proceedings of the 33rd ACM International Conference on Advances in Geographic Information Systems,2025,104.21737,1,O
pub-conf-006,Estimating the Vitality of Individual Street Trees in Urban Areas Using Multi-source Imagery and Deep Learning,Yeonsu Kang,SIGSPATIAL '25,2025,2,10.3390/smartcities9020031,Individual Street Tree Detection and Vitality Assessment Using GeoAI and Multi-Source Imagery,Smart Cities,2026,73.72537,0.381,
pub-conf-006,Estimating the Vitality of Individual Street Trees in Urban Areas Using Multi-source Imagery and Deep Learning,Yeonsu Kang,SIGSPATIAL '25,2025,3,10.23919/wac55640.2022.9934648,Urban road quality design supported by multi-source data and deep learning,2022 World Automation Congress (WAC),2022,34.507183,0.261,
pub-conf-029,Developing Deep Learning Model for Predicting Perceived Walkability Using Street View Images,"Jiyeon Kim, Youngok Kang",2023 International Cartographic Conference,2023,1,10.5194/ica-abs-6-118-2023,Developing deep learning model for predicting perceived walkability using street view images,Abstracts of the ICA,2023,88.91496,1,O
pub-conf-029,Developing Deep Learning Model for Predicting Perceived Walkability Using Street View Images,"Jiyeon Kim, Youngok Kang",2023 International Cartographic Conference,2023,2,10.3390/ijgi12050186,Assessment of Perceived and Physical Walkability Using Street View Images and Deep Learning Technology,ISPRS International Journal of Geo-Information,2023,65.31027,0.471,
pub-conf-029,Developing Deep Learning Model for Predicting Perceived Walkability Using Street View Images,"Jiyeon Kim, Youngok Kang",2023 International Cartographic Conference,2023,3,10.5194/ica-abs-6-135-2023,Measuring human perceptions of urban landscape using machine learning: factors affecting perceived walkability of street-view image,Abstracts of the ICA,2023,51.977245,0.273,
pub-conf-031,Assessment of Perceived and Physical Walkability Using Street View Images and Deep Learning Technology,"Youngok Kang, Jiyeon Kim, Jiyoung Park, Jiyoon Lee",LocBigDataAI 2023,2023,1,10.3390/ijgi12050186,Assessment of Perceived and Physical Walkability Using Street View Images and Deep Learning Technology,ISPRS International Journal of Geo-Information,2023,81.69135,1,O
pub-conf-031,Assessment of Perceived and Physical Walkability Using Street View Images and Deep Learning Technology,"Youngok Kang, Jiyeon Kim, Jiyoung Park, Jiyoon Lee",LocBigDataAI 2023,2023,2,10.5194/ica-abs-6-118-2023,Developing deep learning model for predicting perceived walkability using street view images,Abstracts of the ICA,2023,77.286156,0.471,
pub-conf-031,Assessment of Perceived and Physical Walkability Using Street View Images and Deep Learning Technology,"Youngok Kang, Jiyeon Kim, Jiyoung Park, Jiyoon Lee",LocBigDataAI 2023,2023,3,10.1007/s41324-025-00656-7,Modeling and explaining perceived walkability in urban environments using street view images and explainable AI,Spatial Information Research,2025,65.068344,0.35,
pub-conf-040,Classifying Tourists' Photos and Exploring Tourism Destination Image Using a Deep Learning Model,"Nahye Cho, Youngok Kang, Jiyeon Kim, Soyeon Park",30th International Cartographic Conference,2021,1,10.5194/ica-abs-3-150-2021,Classifying Tourists’ Photos and Exploring Tourism Destination Image Using a Deep Learning Model,Abstracts of the ICA,2021,92.65321,1,O
pub-conf-040,Classifying Tourists' Photos and Exploring Tourism Destination Image Using a Deep Learning Model,"Nahye Cho, Youngok Kang, Jiyeon Kim, Soyeon Park",30th International Cartographic Conference,2021,2,10.1080/1528008x.2021.1995567,Classifying Tourists’ Photos and Exploring Tourism Destination Image Using a Deep Learning Model,Journal of Quality Assurance in Hospitality &amp; Tourism,2022,83.07265,1,
