id,original_title,original_authors,original_year,rank,candidate_doi,candidate_title,candidate_container,candidate_year,crossref_score,title_similarity,confirmed
pub-jour-011,오토인코더와 클러스터링을 통한 보행특성분석: CCTV에서 탐지된 궤적데이터를 활용한 위험 회피보행의 시공간 특성,"노승민, 이지윤, 강영옥",2025,1,,,,,,,
pub-jour-014,거리영상과 시멘틱 세그먼테이션을 활용한 보행환경평가,"최재연, 김소망, 노승민, 강영옥",2024,1,,,,,,,
pub-jour-019,스마트폰 GPS궤적의 시공간 맥락정보 벡터 임베딩을 활용한 생활 패턴 탐색 프레임워크,"김지연, 강영옥",2023,1,,,,,,,
pub-jour-021,GeoAI 활용분야와 연구동향,강영옥,2023,1,,,,,,,
pub-jour-022,스마트폰 GPS궤적의 체류 지점 도출 및 맥락정보 생성방법,"이희주, 노승민, 강영옥",2023,1,,,,,,,
pub-jour-026,궤적 데이터 마이닝 연구 동향: 응용 분야와 분석 방법론을 중심으로,"김지연, 이도현, 이지윤, 조주연, 강영옥",2022,1,,,,,,,
pub-jour-031,거리영상과 세그멘테이션을 활용한 보행환경 평가 지표 개발,"박지영, 강영옥, 김지연",2022,1,10.15717/bioedu.2017.45.3.437,중등 과학교육에서 소집단을 활용한 교수학습 연구 분석 및 '소집단 연구' 방법론 고찰,BIOLOGY EDUCATION,2017,32.902447,0.059,
pub-jour-033,CNN 기반 다중레이블 전이학습을 통한 관광이미지 분석,"윤지영, 강영옥",2021,1,,,,,,,
pub-jour-038,토픽모델링과 LSTM 기반 텍스트 분석을 통한 부산방문 외국인 관광객의 선호관광지 및 관광매력요인 분석,"이혜진, 강영옥",2020,1,,,,,,,
pub-jour-041,지능형 관광 서비스를 위한 관광 사진 분류체계 개발,"조나혜, 강영옥, 윤지영, 박소연",2019,1,,,,,,,
pub-jour-047,지오태깅된 사진 데이터를 활용한 서울방문 관광객의 주요 관광지 분석,"김나연, 강영옥",2019,1,,,,,,,
pub-jour-050,궤적 데이터 마이닝을 통한 서울방문 관광객의 이동 특성 분석,"이주윤, 강영옥, 김나연, 김동은, 박예림",2018,1,,,,,,,
