id,original_title,original_authors,original_venue,original_year,candidate_doi,candidate_title,candidate_container,candidate_year,crossref_score,title_similarity,confirmed,note
pub-jour-001,Modeling and Explaining Perceived Fear of Crime from Street View Imagery Using a GeoAI Framework,"Somang Kim, Jaeyeon Choi, Youngok Kang","ISPRS International Journal of Geo-Information, 15(1), 1-27",2026,10.3390/ijgi15010018,Modeling and Explaining Perceived Fear of Crime from Street View Imagery Using a GeoAI Framework,ISPRS International Journal of Geo-Information,2025,102.18555,1,O,
pub-jour-005,Modeling and explaining perceived walkability in urban environments using street view images and explainable AI,"Jaeyeon Choi, Youngok Kang","Spatial Information Research, 33(6), 1-16",2025,10.1007/s41324-025-00656-7,Modeling and explaining perceived walkability in urban environments using street view images and explainable AI,Spatial Information Research,2025,103.30491,1,O,
pub-jour-006,Context-Aware Anomaly Detection of Pedestrian Trajectories in Urban Back Streets Using a Variational Autoencoder,"Juyeon Cho, Youngok Kang","ISPRS International Journal of Geo-Information, 14(11), 1-23",2025,10.3390/ijgi14110438,Context-Aware Anomaly Detection of Pedestrian Trajectories in Urban Back Streets Using a Variational Autoencoder,ISPRS International Journal of Geo-Information,2025,106.99799,1,O,
pub-jour-009,PGTFT: A Lightweight Graph-Attention Temporal Fusion Transformer for Predicting Pedestrian Congestion in Shadow Areas,"Jiyoon Lee, Youngok Kang","ISPRS International Journal of Geo-Information, 14(1), 1-18",2025,10.3390/ijgi14100381,PGTFT: A Lightweight Graph-Attention Temporal Fusion Transformer for Predicting Pedestrian Congestion in Shadow Areas,ISPRS International Journal of Geo-Information,2025,115.275665,1,O,
pub-jour-013,A Dynamic Algorithm for Measuring Pedestrian Congestion and Safety in Urban Alleyways,"Jiyoon Lee, Youngok Kang","ISPRS International Journal of Geo-Information, 13(12), 434",2024,10.3390/ijgi13120434,A Dynamic Algorithm for Measuring Pedestrian Congestion and Safety in Urban Alleyways,ISPRS International Journal of Geo-Information,2024,82.391106,1,O,
pub-jour-015,Exploring lifestyle patterns from GPS trajectory data: embedding spatio-temporal context information via geohash and POI,"Huiju Lee, Youngok Kang, Seungmin Noh, Jiyeon Kim, Jiyoon Lee","Spatial Information Research, 32, 801-813",2024,10.1007/s41324-024-00597-7,Exploring lifestyle patterns from GPS trajectory data: embedding spatio-temporal context information via geohash and POI,Spatial Information Research,2024,113.507965,1,O,
pub-jour-023,Assessment of Perceived and Physical Walkability Using Street View Images and Deep Learning Technology,"Youngok Kang, Jiyeon Kim, Jiyoung Park, Jiyoon Lee","ISPRS International Journal of Geo-Information, 12(5), 186",2023,10.3390/ijgi12050186,Assessment of Perceived and Physical Walkability Using Street View Images and Deep Learning Technology,ISPRS International Journal of Geo-Information,2023,81.63206,1,O,
pub-jour-024,Classifying Tourists' Photos and Exploring Tourism Destination Image Using a Deep Learning Model,"Nahye Cho, Youngok Kang, Jiyeon Kim, Soyeon Park, Jiyoung Yoon","Journal of Quality Assurance in Hospitality and Tourism, 23(6), 1480-1508",2022,10.5194/ica-abs-3-150-2021,Classifying Tourists’ Photos and Exploring Tourism Destination Image Using a Deep Learning Model,Abstracts of the ICA,2021,92.767624,1,O,
pub-jour-030,Automatic Classification of Photos by Tourist Attractions Using Deep Learning Model and Image Feature Vector Clustering,"Jiyeon Kim, Youngok Kang","ISPRS International Journal of Geo-Information, 11(4), 245",2022,10.3390/ijgi11040245,Automatic Classification of Photos by Tourist Attractions Using Deep Learning Model and Image Feature Vector Clustering,ISPRS International Journal of Geo-Information,2022,102.34407,1,O,
pub-jour-034,Mining Tourists' Destinations and Preferences through LSTM-based Text Classification and Spatial Clustering Using Flickr Data,"Hyejin Lee, Youngok Kang","Spatial Information Research, 29(6), 825-839",2021,10.1007/s41324-021-00397-3,Mining tourists’ destinations and preferences through LSTM-based text classification and spatial clustering using Flickr data,Spatial Information Research,2021,111.289536,1,O,
