id,original_title,original_authors,original_year,kci_doi,kci_uci,kci_url,kci_matched_title,totalCount,title_similarity,suggested_link,note,confirmed
pub-jour-002,NDVI와 고해상도 식생 마스크를 활용한 계절별 Green View Index 추정,"하승주, 강영옥",2025,10.16879/jkca.2025.25.3.093,,,NDVI와 고해상도 식생 마스크를 활용한 계절별 Green View Index 추정,1,1,https://doi.org/10.16879/jkca.2025.25.3.093,,O
pub-jour-003,Social Pooling과 Cross Attention 기반 Transformer 모델을 활용한 이면도로 보행자 궤적 예측,"하지우, 강영옥",2025,10.7319/kogsis.2025.33.4.003,,,Social Pooling과 Cross Attention 기반 Transformer 모델을 활용한 이면도로 보행자 궤적 예측,1,1,https://doi.org/10.7319/kogsis.2025.33.4.003,,O
pub-jour-004,시공간 그래프 신경망을 활용한 도로 단위 불법주정차 예측 모델 개발,"윤서현, 강영옥",2025,10.22640/lxsiri.2025.55.2.101,,https://data.doi.or.kr/10.22640/lxsiri.2025.55.2.101,시공간 그래프 신경망을 활용한 도로 단위 불법주정차 예측 모델 개발,1,1,https://doi.org/10.22640/lxsiri.2025.55.2.101,,O
pub-jour-007,거리영상과 딥러닝을 활용한 범죄 불안감 예측 및 CPTED 기반 범죄 안전 설계 평가,"김소망, 강영옥",2025,10.22776/kgs.2025.60.5.576,,,거리영상과 딥러닝을 활용한 범죄 불안감 예측 및 CPTED 기반 범죄 안전 설계 평가,1,1,https://doi.org/10.22776/kgs.2025.60.5.576,,O
pub-jour-008,항공정사영상과 딥러닝을 활용한 옥상녹화 가능 건물 탐지 및 우선순위 평가,"김현덕, 강영옥",2025,10.22776/kgs.2025.60.5.593,,,항공정사영상과 딥러닝을 활용한 옥상녹화 가능 건물 탐지 및 우선순위 평가,1,1,https://doi.org/10.22776/kgs.2025.60.5.593,,O
pub-jour-010,항공정사영상과 딥러닝을 활용한 옥상녹화를 위한 평지붕 탐지 모델 개발,"김현덕, 강영옥",2025,10.7319/kogsis.2025.33.3.003,,,항공정사영상과 딥러닝을 활용한 옥상녹화를 위한 평지붕 탐지 모델 개발,1,1,https://doi.org/10.7319/kogsis.2025.33.3.003,,O
pub-jour-011,오토인코더와 클러스터링을 통한 보행특성분석: CCTV에서 탐지된 궤적데이터를 활용한 위험 회피보행의 시공간 특성,"노승민, 이지윤, 강영옥",2025,,,,,0,,,결과 없음,
pub-jour-012,거리영상과 딥러닝을 활용한 물리적 보행환경과 인지적 보행환경 평가,"최재연, 김소망, 노승민, 강영옥",2024,10.16879/jkca.2024.24.3.045,,,거리영상과 딥러닝을 활용한 물리적 보행환경과 인지적 보행환경 평가,1,1,https://doi.org/10.16879/jkca.2024.24.3.045,,O
pub-jour-014,거리영상과 시멘틱 세그먼테이션을 활용한 보행환경평가,"최재연, 김소망, 노승민, 강영옥",2024,,,,,0,,,결과 없음,
pub-jour-016,변분 오토인코더를 활용한 보행자 이상 궤적 탐지,"조주연, 강영옥",2024,10.7319/kogsis.2024.32.3.029,,,변분 오토인코더를 활용한 보행자 이상 궤적 탐지,1,1,https://doi.org/10.7319/kogsis.2024.32.3.029,,O
pub-jour-017,거리영상과 딥러닝을 활용한 가로수준의 범죄불안감 측정 및 시각화,"김소망, 최재연, 강영옥",2024,10.16879/jkca.2024.24.1.071,,,거리영상과 딥러닝을 활용한 가로수준의 범죄불안감 측정 및 시각화,1,1,https://doi.org/10.16879/jkca.2024.24.1.071,,O
pub-jour-018,어디가 더 걷기 좋다고 생각하십니까? 거리영상과 샴 네트워크 기반의 딥러닝 모델을 활용한 정성적 보행환경 평가,"최재연, 김소망, 강영옥",2024,10.21189/JKUGS.27.1.5,,,어디가 더 걷기 좋다고 생각하십니까? 거리영상과 샴 네트워크 기반의 딥러닝 모델을 활용한 정성적 보행환경 평가,1,1,https://doi.org/10.21189/JKUGS.27.1.5,,O
pub-jour-019,스마트폰 GPS궤적의 시공간 맥락정보 벡터 임베딩을 활용한 생활 패턴 탐색 프레임워크,"김지연, 강영옥",2023,,,,,0,,,결과 없음,
pub-jour-020,벡터 임베딩을 활용한 스마트폰 궤적의 이동 모드 분류,"이지윤, 강영옥",2023,10.7319/kogsis.2023.31.3.003,,,벡터 임베딩을 활용한 스마트폰 궤적의 이동 모드 분류,1,1,https://doi.org/10.7319/kogsis.2023.31.3.003,,O
pub-jour-021,GeoAI 활용분야와 연구동향,강영옥,2023,,,,,0,,,결과 없음,
pub-jour-022,스마트폰 GPS궤적의 체류 지점 도출 및 맥락정보 생성방법,"이희주, 노승민, 강영옥",2023,,,,,0,,,결과 없음,
pub-jour-025,딥러닝을 활용한 비전 기반 궤적 예측 연구 동향 분석,"이지윤, 조주연, 김지연, 이도현, 강영옥",2022,10.7319/kogsis.2022.30.4.113,,,딥러닝을 활용한 비전 기반 궤적 예측 연구 동향 분석,1,1,https://doi.org/10.7319/kogsis.2022.30.4.113,,O
pub-jour-026,궤적 데이터 마이닝 연구 동향: 응용 분야와 분석 방법론을 중심으로,"김지연, 이도현, 이지윤, 조주연, 강영옥",2022,,,,궤적 데이터 마이닝 연구 동향: 응용 분야와 분석 방법론을 중심으로,1,1,,결과 없음,
pub-jour-027,스마트카드 데이터를 활용한 통행궤적 기반 고령인구 통행유형 분류,"이주윤, 강영옥",2022,10.22640/lxsiri.2022.52.2.153,,https://data.doi.or.kr/10.22640/lxsiri.2022.52.2.153,스마트카드 데이터를 활용한 통행궤적 기반 고령인구 통행유형 분류,1,1,https://doi.org/10.22640/lxsiri.2022.52.2.153,,O
pub-jour-028,기계학습을 이용한 보행환경 정성적 평가에 영향을 미치는 거리영상 특성분석,"이지윤, 강영옥, 김지연, 박지영",2022,10.25202/JAKG.11.3.6,,,기계학습을 이용한 보행환경 정성적 평가에 영향을 미치는 거리영상 특성분석,1,1,https://doi.org/10.25202/JAKG.11.3.6,,O
pub-jour-029,거리영상 기반 보행환경의 정성적 평가 예측을 위한 딥러닝 모델 개발,"김지연, 강영옥",2022,10.7319/kogsis.2022.30.2.045,,,거리영상 기반 보행환경의 정성적 평가 예측을 위한 딥러닝 모델 개발,1,1,https://doi.org/10.7319/kogsis.2022.30.2.045,,O
pub-jour-031,거리영상과 세그멘테이션을 활용한 보행환경 평가 지표 개발,"박지영, 강영옥, 김지연",2022,,,,,0,,,결과 없음,
pub-jour-032,시멘틱 궤적과 GRU 모델을 활용한 개별 관광객의 다음 목적지 예측 모델링,"박소연, 강영옥",2021,10.7319/kogsis.2021.29.4.027,,,시멘틱 궤적과 GRU 모델을 활용한 개별 관광객의 다음 목적지 예측 모델링,1,1,https://doi.org/10.7319/kogsis.2021.29.4.027,,O
pub-jour-033,CNN 기반 다중레이블 전이학습을 통한 관광이미지 분석,"윤지영, 강영옥",2021,,,,,0,,,결과 없음,
pub-jour-035,합성곱신경망을 활용한 SNS 사진 분류 및 관광객과 거주자의 관광 활동 특성 분석,"강영옥, 조나혜, 박소연, 김지연",2021,10.22776/kgs.2021.56.3.247,,https://journal.kgeography.or.kr/articles/doi/10.22776/kgs.2021.56.3.247,합성곱신경망을 활용한 SNS 사진 분류 및 관광객과 거주자의 관광 활동 특성 분석,1,1,https://doi.org/10.22776/kgs.2021.56.3.247,,O
pub-jour-037,SNS 사진에 나타난 사용자 선호 기반의 장소추천,"박소연, 김지연, 강영옥, 조나혜, 윤지영",2020,10.7319/kogsis.2020.28.4.127,,,SNS 사진에 나타난 사용자 선호 기반의 장소추천,1,1,https://doi.org/10.7319/kogsis.2020.28.4.127,,O
pub-jour-038,토픽모델링과 LSTM 기반 텍스트 분석을 통한 부산방문 외국인 관광객의 선호관광지 및 관광매력요인 분석,"이혜진, 강영옥",2020,,,,,0,,,결과 없음,
pub-jour-039,교통카드 데이터를 활용한 서울시 고령인구 주요 체류지 및 체류지별 특성,"이주윤, 김현덕, 강영옥",2020,10.22640/lxsiri.2020.50.1.231,,http://data.doi.or.kr/10.22640/lxsiri.2020.50.1.231,교통카드 데이터를 활용한 서울시 고령인구 주요 체류지 및 체류지별 특성,1,1,https://doi.org/10.22640/lxsiri.2020.50.1.231,,O
pub-jour-040,소셜 미디어데이터 분석을 통한 부산방문 외국인 관광객의 선호 관광지 및 관광지 이미지 분석,"이혜진, 강영옥",2020,10.21189/JKUGS.23.1.8,,,소셜 미디어데이터 분석을 통한 부산방문 외국인 관광객의 선호 관광지 및 관광지 이미지 분석,1,1,https://doi.org/10.21189/JKUGS.23.1.8,,O
pub-jour-041,지능형 관광 서비스를 위한 관광 사진 분류체계 개발,"조나혜, 강영옥, 윤지영, 박소연",2019,,,,지능형 관광 서비스를 위한 관광 사진 분류체계 개발,1,1,,결과 없음,
